Team,W-L,Win %,MOV,ATS +/-,Season
San Diego St,4-8,33.3,-6.3,-4.1,2023
San Diego St,7-6,53.9,0.9,-2.9,2022
San Diego St,3-9,25.0,-8.3,-2.8,2024
San Diego St,12-2,85.7,7.6,0.7,2021
San Jose St,7-6,53.9,6.2,6.2,2023
San Jose St,5-7,41.7,-6.5,-8.7,2021
San Jose St,7-5,58.3,5.4,-2.0,2022
San Jose St,7-6,53.9,0.8,1.5,2024
Stanford,3-9,25.0,-10.8,-2.1,2024
Stanford,3-9,25.0,-12.0,-5.5,2021
Stanford,3-9,25.0,-10.8,-4.7,2022
Stanford,3-9,25.0,-17.1,-1.7,2023
Syracuse,10-3,76.9,4.9,1.6,2024
Syracuse,6-7,46.2,-1.8,-4.7,2023
Syracuse,5-7,41.7,-1.4,1.5,2021
Syracuse,7-6,53.9,4.6,0.6,2022
TX Christian,5-7,41.7,-6.3,-9.2,2021
TX Christian,9-4,69.2,8.8,0.7,2024
TX Christian,5-7,41.7,3.5,-3.4,2023
TX Christian,13-2,86.7,9.8,5.4,2022
TX El Paso,3-9,25.0,-8.6,-4.0,2023
TX El Paso,7-6,53.9,-0.2,2.9,2021
TX El Paso,5-7,41.7,-2.6,0.3,2022
TX El Paso,3-9,25.0,-12.8,-1.5,2024
Temple,3-9,25.0,-14.6,-8.5,2023
Temple,3-9,25.0,-7.3,2.9,2022
Temple,3-9,25.0,-21.2,-11.4,2021
Temple,3-9,25.0,-15.8,-2.1,2024
Tennessee,11-2,84.6,23.3,9.0,2022
Tennessee,9-4,69.2,11.5,-2.0,2023
Tennessee,7-6,53.9,10.2,3.6,2021
Tennessee,10-3,76.9,19.6,3.8,2024
Texas,12-2,85.7,16.9,2.9,2023
Texas,13-3,81.3,17.7,0.5,2024
Texas,8-5,61.5,12.8,4.7,2022
Texas,5-7,41.7,4.2,-2.1,2021
Texas A&M,8-5,61.5,8.2,-3.4,2024
Texas A&M,7-6,53.9,11.2,0.2,2023
Texas A&M,5-7,41.7,1.6,-3.0,2022
Texas A&M,8-4,66.7,13.4,0.6,2021
Texas St,8-5,61.5,3.8,2.6,2023
Texas St,8-5,61.5,12.0,-1.2,2024
Texas St,4-8,33.3,-5.3,0.1,2022
Texas St,4-8,33.3,-9.9,-3.6,2021
Texas Tech,7-6,53.9,1.4,-2.9,2023
Texas Tech,8-5,61.5,5.1,5.3,2022
Texas Tech,8-5,61.5,2.8,-0.3,2024
Texas Tech,7-6,53.9,0.2,1.5,2021
Toledo,7-6,53.9,11.6,0.1,2021
Toledo,8-5,61.5,5.1,-1.1,2024
Toledo,9-5,64.3,6.2,-2.5,2022
Toledo,11-3,78.6,12.0,-0.3,2023
Troy,12-2,85.7,8.4,4.2,2022
Troy,4-8,33.3,-2.4,0.9,2024
Troy,5-7,41.7,-3.3,-5.5,2021
Troy,11-3,78.6,12.5,4.0,2023
Tulane,2-10,16.7,-6.4,-1.7,2021
Tulane,11-3,78.6,5.9,-4.2,2023
Tulane,9-5,64.3,14.4,6.1,2024
Tulane,12-2,85.7,13.8,7.1,2022
Tulsa,7-6,53.9,-0.2,-2.5,2021
Tulsa,5-7,41.7,-2.5,-2.4,2022
Tulsa,3-9,25.0,-17.5,-12.5,2024
Tulsa,4-8,33.3,-10.4,-4.9,2023
U Mass,2-10,16.7,-13.0,-3.1,2024
U Mass,1-11,8.3,-18.6,-1.1,2022
U Mass,3-9,25.0,-14.7,-3.9,2023
U Mass,1-11,8.3,-26.8,-3.2,2021
UAB,9-4,69.2,6.3,1.3,2021
UAB,7-6,53.9,6.9,-2.4,2022
UAB,4-8,33.3,-7.0,-2.5,2023
UAB,3-9,25.0,-8.1,-1.8,2024
UCF,9-5,64.3,9.2,-0.9,2022
UCF,6-7,46.2,5.5,-0.6,2023
UCF,9-4,69.2,7.4,-2.0,2021
UCF,4-8,33.3,3.5,-3.2,2024
UCLA,8-4,66.7,9.8,3.8,2021
UCLA,8-5,61.5,8.1,-1.0,2023
UCLA,5-7,41.7,-6.8,0.6,2024
UCLA,9-4,69.2,10.2,-2.3,2022
UL Monroe,5-7,41.7,-7.8,3.0,2024
UL Monroe,4-8,33.3,-12.1,1.6,2022
UL Monroe,2-10,16.7,-17.6,-5.0,2023
UL Monroe,4-8,33.3,-12.6,5.8,2021
UNLV,2-10,16.7,-12.1,3.5,2021
UNLV,5-7,41.7,-2.2,-2.0,2022
UNLV,11-3,78.6,14.1,5.9,2024
UNLV,9-5,64.3,5.9,6.4,2023
USC,7-6,53.9,6.1,0.3,2024
USC,8-5,61.5,7.5,-5.6,2023
USC,4-8,33.3,-3.1,-7.0,2021
USC,11-3,78.6,12.1,-0.1,2022
UTSA,12-2,85.7,12.2,2.8,2021
UTSA,11-3,78.6,10.9,0.6,2022
UTSA,9-4,69.2,7.8,1.5,2023
UTSA,7-6,53.9,3.1,-1.1,2024
Utah,8-5,61.5,3.8,-0.9,2023
Utah,5-7,41.7,2.9,-2.1,2024
Utah,10-4,71.4,17.2,4.5,2022
Utah,10-4,71.4,13.6,4.5,2021
Utah St,6-7,46.2,-8.9,-5.7,2022
Utah St,4-8,33.3,-5.8,0.6,2024
Utah St,11-3,78.6,8.1,8.5,2021
Utah St,6-7,46.2,-1.5,-1.2,2023
VA Tech,3-8,27.3,-5.5,-3.8,2022
VA Tech,7-6,53.9,5.6,6.2,2023
VA Tech,6-7,46.2,5.3,0.7,2024
VA Tech,6-7,46.2,-1.6,-4.2,2021
Vanderbilt,5-7,41.7,-11.4,1.0,2022
Vanderbilt,2-10,16.7,-20.1,-3.0,2021
Vanderbilt,2-10,16.7,-13.3,-4.3,2023
Vanderbilt,7-6,53.9,3.9,7.9,2024
Virginia,5-7,41.7,-6.1,-2.9,2024
Virginia,3-7,30.0,-7.0,-6.7,2022
Virginia,6-6,50.0,2.8,0.1,2021
Virginia,3-9,25.0,-10.5,-0.4,2023
W Kentucky,8-5,61.5,1.8,-3.5,2023
W Kentucky,9-5,64.3,14.9,7.3,2021
W Kentucky,8-6,57.1,0.3,-2.7,2024
W Kentucky,9-5,64.3,13.0,4.7,2022
W Michigan,6-7,46.2,-2.4,-2.5,2024
W Michigan,4-8,33.3,-8.1,0.8,2023
W Michigan,5-7,41.7,-5.1,-1.7,2022
W Michigan,8-5,61.5,4.2,-1.0,2021
W Virginia,6-7,46.2,1.4,-1.2,2021
W Virginia,5-7,41.7,-2.3,-2.2,2022
W Virginia,6-7,46.2,-2.8,-2.8,2024
W Virginia,9-4,69.2,5.3,3.6,2023
Wake Forest,4-8,33.3,-6.9,-5.0,2023
Wake Forest,8-5,61.5,7.8,-0.9,2022
Wake Forest,11-3,78.6,12.1,3.4,2021
Wake Forest,4-8,33.3,-6.8,-2.7,2024
Wash State,7-6,53.9,3.6,3.3,2021
Wash State,7-6,53.9,3.2,2.2,2022
Wash State,8-5,61.5,6.7,-1.2,2024
Wash State,5-7,41.7,3.6,0.5,2023
Washington,6-7,46.2,-0.4,-3.5,2024
Washington,14-1,93.3,11.2,0.0,2023
Washington,11-2,84.6,13.8,3.7,2022
Washington,4-8,33.3,-1.2,-5.0,2021
Wisconsin,9-4,69.2,9.2,-1.2,2021
Wisconsin,7-6,53.9,6.1,-3.2,2022
Wisconsin,7-6,53.9,3.3,-3.7,2023
Wisconsin,5-7,41.7,-0.5,-1.3,2024
Wyoming,7-6,53.9,-2.7,0.4,2022
Wyoming,9-4,69.2,3.0,2.1,2023
Wyoming,7-6,53.9,1.7,-3.5,2021
Wyoming,3-9,25.0,-9.0,-1.5,2024
