Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
99,Wisconsin ,12,33,350.3,2024,78,19,153.7,102,10,14,196.7,41,34,342.7,91,20,165.0,14,12,177.7,105,8,8,-6,32,63,5.25,8,37.50,86,29:21,,Big Ten,5,7
100,Middle Tenn. ,12,26,350.1,2024,129,10,89.0,36,10,16,261.1,121,54,449.2,116,26,197.0,115,27,252.2,119,5,9,-9,115,88,7.33,106,61.33,61,30:13,,CUSA,3,9
101,FIU ,12,40,350.0,2024,105,16,120.6,63,11,24,229.4,67,37,370.9,110,28,191.3,16,9,179.6,86,5,8,-3,49,66,5.50,42,47.42,101,28:43,,CUSA,4,8
102,Sam Houston ,13,36,347.9,2024,41,21,179.8,122,9,15,168.2,22,33,321.5,57,17,144.5,13,14,177.0,8,11,6,12,15,60,4.62,10,37.92,13,32:12,,CUSA,10,3
103,Ball St. ,12,36,347.8,2024,120,10,102.8,43,11,26,245.0,124,63,454.9,100,24,175.3,129,37,279.6,51,8,3,2,19,59,4.92,32,45.33,41,30:58,,MAC,3,9
104,Massachusetts ,12,32,345.3,2024,65,18,163.5,114,6,14,181.8,70,55,374.5,118,32,197.9,12,19,176.6,68,3,4,-1,112,87,7.25,109,63.17,11,32:20,,FBS Independent,2,10
105,Charlotte ,12,32,341.2,2024,106,16,117.1,73,14,16,224.1,116,54,433.2,122,29,210.3,74,18,222.8,119,2,7,-9,122,93,7.75,115,65.33,103,28:37,,The American,5,7
106,Fresno St. ,13,41,340.6,2024,123,21,98.2,46,14,20,242.5,52,39,355.6,50,14,139.4,62,21,216.2,47,5,3,3,77,80,6.15,87,54.69,116,27:30,,Mountain West,6,7
107,Minnesota ,13,38,337.8,2024,109,18,115.6,76,6,20,222.2,5,25,285.7,12,14,109.6,10,11,176.1,17,4,6,9,18,63,4.85,9,37.54,19,31:57,,Big Ten,8,5
108,Duke ,13,41,336.8,2024,127,13,92.5,44,13,28,244.3,58,37,363.1,68,15,149.6,53,19,213.5,24,14,6,8,29,67,5.15,61,50.08,117,27:24,,ACC,9,4
109,San Diego St. ,12,28,334.6,2024,99,13,128.9,93,8,15,205.7,114,47,421.3,121,25,207.3,55,21,214.1,46,5,1,3,132,109,9.08,133,81.75,122,27:08,,Mountain West,3,9
110,Michigan St. ,12,24,333.4,2024,110,11,115.3,79,12,13,218.1,34,39,332.0,32,19,125.1,46,20,206.9,114,2,7,-8,96,80,6.67,110,63.33,49,30:35,,Big Ten,5,7
111,Louisiana Tech ,13,32,332.9,2024,116,14,109.2,74,8,18,223.7,12,34,308.4,43,21,135.5,6,11,172.8,99,12,14,-5,35,69,5.31,63,50.62,30,31:21,,CUSA,5,8
112,Akron ,12,27,332.8,2024,121,11,100.3,59,10,16,232.4,108,50,414.4,104,23,183.3,88,24,231.1,125,7,10,-10,85,76,6.33,50,48.67,106,28:32,,MAC,4,8
113,Oklahoma ,13,33,331.0,2024,76,17,155.2,119,6,16,175.8,19,33,318.2,24,11,115.1,43,17,203.2,61,12,15,0,35,69,5.31,34,45.46,94,28:59,,SEC,6,7
114,Kentucky ,12,26,330.4,2024,81,11,145.6,112,17,15,184.8,44,32,345.5,86,20,161.8,21,9,183.7,109,6,6,-7,83,75,6.25,76,52.08,82,29:31,,SEC,4,8
115,Utah ,12,27,329.8,2024,98,7,130.4,98,17,20,199.4,29,30,329.7,35,13,129.4,39,15,200.3,92,6,5,-4,44,65,5.42,41,46.25,15,32:06,,Big 12,5,7
116,Central Mich. ,12,28,329.5,2024,59,17,166.1,124,12,11,163.4,59,40,363.6,93,20,169.8,32,17,193.8,132,3,10,-17,99,81,6.75,104,60.92,85,29:25,,MAC,4,8
117,Iowa ,13,40,328.8,2024,24,30,197.2,129,8,10,131.6,20,27,318.4,25,4,115.3,42,20,203.1,8,8,4,12,1,41,3.15,3,29.85,88,29:18,,Big Ten,8,5
118,UCLA ,12,21,328.8,2024,131,4,86.6,47,11,17,242.2,39,36,340.8,6,17,96.2,107,19,244.7,92,3,6,-4,128,98,8.17,121,68.92,36,31:08,,Big Ten,5,7
119,Wyoming ,12,25,327.3,2024,88,14,137.8,107,11,11,189.4,103,41,410.6,111,21,191.7,68,16,218.9,101,5,5,-5,49,66,5.50,59,49.83,42,30:52,,Mountain West,3,9
120,Stanford ,12,29,323.9,2024,93,11,132.7,105,17,18,191.3,107,52,414.1,41,21,133.5,130,31,280.6,101,8,5,-5,44,65,5.42,53,49.00,29,31:38,,ACC,3,9
121,New Mexico St. ,12,28,323.2,2024,40,16,180.0,127,12,12,143.2,120,54,446.8,114,29,195.3,114,21,251.6,129,1,11,-13,44,65,5.42,47,48.08,87,29:20,,CUSA,3,9
122,UTEP ,12,24,320.8,2024,104,9,120.8,96,12,15,200.0,99,49,402.5,102,25,179.3,75,23,223.2,68,7,7,-1,62,68,5.67,66,50.92,113,27:53,,CUSA,3,9
123,Vanderbilt ,13,39,318.4,2024,86,18,139.8,117,4,21,178.6,74,37,376.5,52,13,140.8,97,24,235.7,17,6,3,9,57,73,5.62,84,54.38,39,31:03,,SEC,7,6
124,Air Force ,12,29,313.8,2024,10,24,224.0,132,10,5,89.8,40,36,341.9,74,23,153.4,27,12,188.5,86,8,5,-3,2,38,3.17,2,28.83,2,33:50,,Mountain West,5,7
125,Temple ,12,26,308.8,2024,126,10,92.8,82,14,16,216.0,112,55,417.8,131,30,226.1,30,20,191.7,125,6,11,-10,55,67,5.58,31,45.08,63,30:12,,The American,3,9
