Team,Win %,MOV,ATS +/-,Season,Wins,Losses
S Mississippi,25.0,-10.3,-1.5,2021,3,9
S Mississippi,53.9,1.8,2.8,2022,7,6
S Mississippi,25.0,-12.6,-5.4,2023,3,9
S Mississippi,8.3,-22.5,-9.0,2024,1,11
Sam Hous St,0.0,-31.0,4.5,2022,0,1
Sam Hous St,76.9,3.3,2.5,2024,10,3
Sam Hous St,25.0,-6.2,-0.1,2023,3,9
San Diego St,25.0,-8.3,-2.8,2024,3,9
San Diego St,53.9,0.9,-2.9,2022,7,6
San Diego St,33.3,-6.3,-4.1,2023,4,8
San Diego St,85.7,7.6,0.7,2021,12,2
San Jose St,41.7,-6.5,-8.7,2021,5,7
San Jose St,53.9,0.8,1.5,2024,7,6
San Jose St,53.9,6.2,6.2,2023,7,6
San Jose St,58.3,5.4,-2.0,2022,7,5
Stanford,25.0,-10.8,-4.7,2022,3,9
Stanford,25.0,-17.1,-1.7,2023,3,9
Stanford,25.0,-10.8,-2.1,2024,3,9
Stanford,25.0,-12.0,-5.5,2021,3,9
Syracuse,76.9,4.9,1.6,2024,10,3
Syracuse,41.7,-1.4,1.5,2021,5,7
Syracuse,53.9,4.6,0.6,2022,7,6
Syracuse,46.2,-1.8,-4.7,2023,6,7
TX Christian,86.7,9.8,5.4,2022,13,2
TX Christian,41.7,-6.3,-9.2,2021,5,7
TX Christian,69.2,8.8,0.7,2024,9,4
TX Christian,41.7,3.5,-3.4,2023,5,7
TX El Paso,25.0,-12.8,-1.5,2024,3,9
TX El Paso,41.7,-2.6,0.3,2022,5,7
TX El Paso,53.9,-0.2,2.9,2021,7,6
TX El Paso,25.0,-8.6,-4.0,2023,3,9
Temple,25.0,-14.6,-8.5,2023,3,9
Temple,25.0,-7.3,2.9,2022,3,9
Temple,25.0,-15.8,-2.1,2024,3,9
Temple,25.0,-21.2,-11.4,2021,3,9
Tennessee,76.9,19.6,3.8,2024,10,3
Tennessee,53.9,10.2,3.6,2021,7,6
Tennessee,69.2,11.5,-2.0,2023,9,4
Tennessee,84.6,23.3,9.0,2022,11,2
Texas,41.7,4.2,-2.1,2021,5,7
Texas,61.5,12.8,4.7,2022,8,5
Texas,85.7,16.9,2.9,2023,12,2
Texas,81.3,17.7,0.5,2024,13,3
Texas A&M,66.7,13.4,0.6,2021,8,4
Texas A&M,53.9,11.2,0.2,2023,7,6
Texas A&M,61.5,8.2,-3.4,2024,8,5
Texas A&M,41.7,1.6,-3.0,2022,5,7
Texas St,61.5,3.8,2.6,2023,8,5
Texas St,33.3,-5.3,0.1,2022,4,8
Texas St,33.3,-9.9,-3.6,2021,4,8
Texas St,61.5,12.0,-1.2,2024,8,5
Texas Tech,61.5,2.8,-0.3,2024,8,5
Texas Tech,53.9,0.2,1.5,2021,7,6
Texas Tech,61.5,5.1,5.3,2022,8,5
Texas Tech,53.9,1.4,-2.9,2023,7,6
Toledo,61.5,5.1,-1.1,2024,8,5
Toledo,64.3,6.2,-2.5,2022,9,5
Toledo,78.6,12.0,-0.3,2023,11,3
Toledo,53.9,11.6,0.1,2021,7,6
Troy,41.7,-3.3,-5.5,2021,5,7
Troy,78.6,12.5,4.0,2023,11,3
Troy,33.3,-2.4,0.9,2024,4,8
Troy,85.7,8.4,4.2,2022,12,2
Tulane,78.6,5.9,-4.2,2023,11,3
Tulane,64.3,14.4,6.1,2024,9,5
Tulane,85.7,13.8,7.1,2022,12,2
Tulane,16.7,-6.4,-1.7,2021,2,10
Tulsa,53.9,-0.2,-2.5,2021,7,6
Tulsa,25.0,-17.5,-12.5,2024,3,9
Tulsa,33.3,-10.4,-4.9,2023,4,8
Tulsa,41.7,-2.5,-2.4,2022,5,7
U Mass,8.3,-26.8,-3.2,2021,1,11
U Mass,25.0,-14.7,-3.9,2023,3,9
U Mass,8.3,-18.6,-1.1,2022,1,11
U Mass,16.7,-13.0,-3.1,2024,2,10
UAB,33.3,-7.0,-2.5,2023,4,8
UAB,69.2,6.3,1.3,2021,9,4
UAB,25.0,-8.1,-1.8,2024,3,9
UAB,53.9,6.9,-2.4,2022,7,6
UCF,69.2,7.4,-2.0,2021,9,4
UCF,46.2,5.5,-0.6,2023,6,7
UCF,33.3,3.5,-3.2,2024,4,8
UCF,64.3,9.2,-0.9,2022,9,5
UCLA,41.7,-6.8,0.6,2024,5,7
UCLA,61.5,8.1,-1.0,2023,8,5
UCLA,69.2,10.2,-2.3,2022,9,4
UCLA,66.7,9.8,3.8,2021,8,4
UL Monroe,33.3,-12.6,5.8,2021,4,8
UL Monroe,41.7,-7.8,3.0,2024,5,7
UL Monroe,33.3,-12.1,1.6,2022,4,8
UL Monroe,16.7,-17.6,-5.0,2023,2,10
UNLV,41.7,-2.2,-2.0,2022,5,7
UNLV,78.6,14.1,5.9,2024,11,3
UNLV,64.3,5.9,6.4,2023,9,5
UNLV,16.7,-12.1,3.5,2021,2,10
USC,53.9,6.1,0.3,2024,7,6
USC,61.5,7.5,-5.6,2023,8,5
USC,78.6,12.1,-0.1,2022,11,3
